sizing_profile,scenario,pnl,final_balance,return_percent,max_drawdown,minimum_required_bankroll,eligible_signals,stop_ineligible_signals,fills,zero_fills,filled_directional_winners,filled_directional_losers,stopped_trades,stopped_eventual_winners,settlement_winners,settlement_losers,highest_recovery_exponent,maximum_quantity,final_recovery_exponent,final_recovery_cycle_pnl,final_base,funding_failure
recovery_1.01x,strict_60s_trade_through,-14.2960,985.7040,-1.429600,15.7168,18.5311,190,24,161,29,64,97,150,53,11,0,160,4.91,161,-14.2960,1.00,False
recovery_1.01x,observed_60s_quote_touch,-8.6067,991.3933,-0.8606700,10.0992,13.0551,190,24,166,24,69,97,150,53,16,0,165,5.16,166,-8.6067,1.00,False
recovery_1.01x,all_eligible_fill,7.5329,1007.5329,0.7532900,1.1457,1.6346,190,24,190,0,93,97,150,53,40,0,34,1.40,3,-0.1011,1.00,False
fixed_one_share,strict_60s_trade_through,-6.8100,993.1900,-0.68100,7.1100,7.7000,190,24,161,29,64,97,150,53,11,0,160,1.00,161,-6.8100,1.00,False
fixed_one_share,observed_60s_quote_touch,-4.5600,995.4400,-0.45600,4.8600,5.4500,190,24,166,24,69,97,150,53,16,0,165,1.00,166,-4.5600,1.00,False
fixed_one_share,all_eligible_fill,6.6300,1006.6300,0.66300,1.0800,1.4200,190,24,190,0,93,97,150,53,40,0,36,1.00,3,-0.1000,1.00,False
