sizing_profile,scenario,pnl,final_balance,return_percent,max_drawdown,minimum_required_bankroll,eligible_signals,stop_ineligible_signals,fills,zero_fills,filled_directional_winners,filled_directional_losers,stopped_trades,stopped_eventual_winners,settlement_winners,settlement_losers,highest_recovery_exponent,maximum_quantity,final_recovery_exponent,final_recovery_cycle_pnl,final_base,funding_failure
recovery_1.01x,strict_60s_trade_through,-17.6384,982.3616,-1.7638400,18.9609,21.7752,190,24,161,29,64,97,150,53,11,0,160,4.91,161,-17.6384,1.00,False
recovery_1.01x,observed_60s_quote_touch,-11.9089,988.0911,-1.1908900,13.2982,16.2541,190,24,166,24,69,97,150,53,16,0,165,5.16,166,-11.9089,1.00,False
recovery_1.01x,all_eligible_fill,6.5965,1006.5965,0.6596500,1.3699,1.8788,190,24,190,0,93,97,150,53,40,0,36,1.43,3,-0.1314,1.00,False
fixed_one_share,strict_60s_trade_through,-8.2000,991.8000,-0.8200,8.4800,9.0700,190,24,161,29,64,97,150,53,11,0,160,1.00,161,-8.2000,1.00,False
fixed_one_share,observed_60s_quote_touch,-5.9000,994.1000,-0.5900,6.1800,6.7700,190,24,166,24,69,97,150,53,16,0,165,1.00,166,-5.9000,1.00,False
fixed_one_share,all_eligible_fill,5.5300,1005.5300,0.55300,1.2400,1.6200,190,24,190,0,93,97,150,53,40,0,36,1.00,3,-0.1300,1.00,False
