sizing_profile,scenario,pnl,final_balance,return_percent,max_drawdown,minimum_required_bankroll,eligible_signals,stop_ineligible_signals,fills,zero_fills,filled_directional_winners,filled_directional_losers,stopped_trades,stopped_eventual_winners,settlement_winners,settlement_losers,highest_recovery_exponent,maximum_quantity,final_recovery_exponent,final_recovery_cycle_pnl,final_base,funding_failure
recovery_1.01x,strict_60s_trade_through,-13.9858,986.0142,-1.3985800,15.4543,18.2686,190,24,161,29,64,97,150,53,11,0,160,4.91,161,-13.9858,1.00,False
recovery_1.01x,observed_60s_quote_touch,-8.1499,991.8501,-0.8149900,9.6925,12.6484,190,24,166,24,69,97,150,53,16,0,165,5.16,166,-8.1499,1.00,False
recovery_1.01x,all_eligible_fill,7.9686,1007.9686,0.7968600,1.1356,1.6016,190,24,190,0,93,97,150,53,40,0,34,1.40,3,-0.1011,1.00,False
fixed_one_share,strict_60s_trade_through,-6.7000,993.3000,-0.6700,7.0100,7.6000,190,24,161,29,64,97,150,53,11,0,160,1.00,161,-6.7000,1.00,False
fixed_one_share,observed_60s_quote_touch,-4.4000,995.6000,-0.4400,4.7100,5.3000,190,24,166,24,69,97,150,53,16,0,165,1.00,166,-4.4000,1.00,False
fixed_one_share,all_eligible_fill,7.0300,1007.0300,0.70300,1.0800,1.4100,190,24,190,0,93,97,150,53,40,0,34,1.00,3,-0.1000,1.00,False
