Ticker,Market,Name,Final position,Side,Total cost,Total return ($),Total return (%),Last updated
KXBTC15M-26JUL240830-30,BTC price up in next 15 mins?,"Target Price: $65,024.49",,,6.07,-4.03,-66.39,2026-07-24T12:30:05.972497Z
KXBTC15M-26JUL240815-15,BTC price up in next 15 mins?,"Target Price: $65,032.26",9,No,3.00,6.00,200.00,2026-07-24T12:15:06.024346Z
KXBTC15M-26JUL240800-00,BTC price up in next 15 mins?,"Target Price: $64,919.57",30,Yes,5.92,24.08,406.76,2026-07-24T12:00:06.02351Z
KXBTC15M-26JUL240745-45,BTC price up in next 15 mins?,"Target Price: $64,995.71",3,No,1.20,1.80,150.00,2026-07-24T11:45:06.0182Z
KXBTC15M-26JUL240730-30,BTC price up in next 15 mins?,"Target Price: $64,961.65",30,No,5.76,-5.80,-100.69,2026-07-24T11:30:06.022189Z
KXBTC15M-26JUL240715-15,BTC price up in next 15 mins?,"Target Price: $64,907.76",3,Yes,1.20,1.80,150.00,2026-07-24T11:15:06.018047Z
KXBTC15M-26JUL240700-00,BTC price up in next 15 mins?,"Target Price: $64,984.30",3,No,1.20,1.80,150.00,2026-07-24T11:00:06.020919Z
KXBTC15M-26JUL240645-45,BTC price up in next 15 mins?,"Target Price: $64,973.29",,,5.83,-4.40,-75.47,2026-07-24T10:45:05.973836Z
KXBTC15M-26JUL240630-30,BTC price up in next 15 mins?,"Target Price: $64,966.05",18,Yes,4.80,13.20,275.00,2026-07-24T10:30:06.018911Z
KXBTC15M-26JUL240615-15,BTC price up in next 15 mins?,"Target Price: $65,067.58",9,No,3.00,6.00,200.00,2026-07-24T10:15:05.967313Z
KXBTC15M-26JUL240530-30,BTC price up in next 15 mins?,"Target Price: $65,018.80",,,6.04,-4.90,-81.13,2026-07-24T09:30:06.01529Z
KXBTC15M-26JUL240515-15,BTC price up in next 15 mins?,"Target Price: $65,270.30",,,6.05,-4.71,-77.85,2026-07-24T09:15:06.020438Z
KXBTC15M-26JUL240430-30,BTC price up in next 15 mins?,"Target Price: $65,407.96",,,6.05,-4.62,-76.36,2026-07-24T08:30:06.021843Z
KXBTC15M-26JUL240345-45,BTC price up in next 15 mins?,"Target Price: $65,591.26",,,5.94,-4.80,-80.81,2026-07-24T07:45:05.972936Z
KXBTC15M-26JUL240300-00,BTC price up in next 15 mins?,"Target Price: $65,418.15",,,6.04,-4.79,-79.30,2026-07-24T07:00:06.03202Z
KXBTC15M-26JUL240245-45,BTC price up in next 15 mins?,"Target Price: $65,383.32",,,6.04,-4.99,-82.62,2026-07-24T06:45:06.029473Z
