timestamp,market_ticker,market_close_time,actual_balance_before,actual_realized_pnl,actual_balance_after,execution_enabled_for_market,state_before_market,entry_signal_after_market,exit_signal_after_market,state_after_market,p10,p50,p90,balance_source,reconciled,selected_side,contracts_bought,contracts_sold,average_entry,entry_cost,exit_proceeds,settlement_payout,fees,exit_method,source,reconciliation_status,completed_at
2026-08-01T03:15:17.908327+00:00,KXBTC15M-26JUL312315-15,2026-08-01T03:15:17.842031+00:00,7.3703,0,7.3703,False,off,False,False,off,121.94511992932242,133.62306152888212,146.06602118409532,authenticated_kalshi_api,True,yes,0.0,0,,0.0,0,0,0.0,settlement,live_bot_ledger,pending_api_reconciliation,2026-08-01T03:15:17.908344+00:00
2026-08-01T03:30:12.199281+00:00,KXBTC15M-26JUL312330-30,2026-08-01T03:30:12.133435+00:00,7.3703,0,7.3703,False,off,False,False,off,121.9352926099209,133.72256743293065,146.29798679477054,authenticated_kalshi_api,True,yes,0.0,0,,0.0,0,0,0.0,settlement,live_bot_ledger,pending_api_reconciliation,2026-08-01T03:30:12.199297+00:00
2026-08-01T03:45:25.550438+00:00,KXBTC15M-26JUL312345-45,2026-08-01T03:45:25.459779+00:00,7.3703,0,7.3703,False,off,False,False,off,122.02359181777118,134.11349864505007,147.05704749526106,authenticated_kalshi_api,True,no,0.0,0,,0.0,0,0,0.0,settlement,live_bot_ledger,pending_api_reconciliation,2026-08-01T03:45:25.550456+00:00
2026-08-01T04:00:13.881673+00:00,KXBTC15M-26AUG010000-00,2026-08-01T04:00:13.818779+00:00,7.3703,0,7.3703,False,off,False,False,off,126.4488298492864,138.67568135472754,151.73099831438918,authenticated_kalshi_api,True,yes,0.0,0,,0.0,0,0,0.0,settlement,live_bot_ledger,pending_api_reconciliation,2026-08-01T04:00:13.881689+00:00
2026-08-01T04:15:25.407278+00:00,KXBTC15M-26AUG010015-15,2026-08-01T04:15:25.343067+00:00,7.3703,0,7.3703,False,off,False,False,off,129.85169659482153,142.21558653368726,155.40067200411997,authenticated_kalshi_api,True,no,0.0,0,,0.0,0,0,0.0,settlement,live_bot_ledger,pending_api_reconciliation,2026-08-01T04:15:25.407296+00:00
2026-08-01T04:30:21.739166+00:00,KXBTC15M-26AUG010030-30,2026-08-01T04:30:21.716463+00:00,7.3703,0,7.3703,False,off,False,False,off,131.25952513989958,143.74340033290434,157.05450534395436,authenticated_kalshi_api,True,no,0.0,0,,0.0,0,0,0.0,settlement,live_bot_ledger,pending_api_reconciliation,2026-08-01T04:30:21.739189+00:00
2026-08-01T04:45:19.911704+00:00,KXBTC15M-26AUG010045-45,2026-08-01T04:45:19.887991+00:00,7.3703,0,7.3703,False,off,False,False,off,134.35095561573095,146.75899314573266,159.94600297450287,authenticated_kalshi_api,True,no,0.0,0,,0.0,0,0,0.0,settlement,live_bot_ledger,pending_api_reconciliation,2026-08-01T04:45:19.911723+00:00
2026-08-01T05:00:18.935519+00:00,KXBTC15M-26AUG010100-00,2026-08-01T05:00:18.913178+00:00,7.3703,0,7.3703,False,off,False,False,off,132.23345158897317,144.77429532163427,158.14909401542653,authenticated_kalshi_api,True,no,0.0,0,,0.0,0,0,0.0,settlement,live_bot_ledger,pending_api_reconciliation,2026-08-01T05:00:18.935537+00:00
2026-08-01T05:15:25.964366+00:00,KXBTC15M-26AUG010115-15,2026-08-01T05:15:25.920174+00:00,7.3703,0,7.3703,False,off,True,False,on,133.13080056050944,145.7882093988647,159.28998503914755,authenticated_kalshi_api,True,no,0.0,0,,0.0,0,0,0.0,settlement,live_bot_ledger,pending_api_reconciliation,2026-08-01T05:15:25.964386+00:00
2026-08-01T05:30:14.665126+00:00,KXBTC15M-26AUG010130-30,2026-08-01T05:30:14.639285+00:00,7.3703,0,7.3703,True,on,False,False,on,131.57210148780064,144.1403943208379,157.55245627584873,authenticated_kalshi_api,True,,0.0,0,,0.0,0,0,0.0,settlement,live_bot_ledger,pending_api_reconciliation,2026-08-01T05:30:14.665144+00:00
