sizing_profile,scenario,pnl,final_balance,return_percent,max_drawdown,minimum_required_bankroll,eligible_signals,stop_ineligible_signals,fills,zero_fills,filled_directional_winners,filled_directional_losers,stopped_trades,stopped_eventual_winners,settlement_winners,settlement_losers,highest_recovery_exponent,maximum_quantity,final_recovery_exponent,final_recovery_cycle_pnl,final_base,funding_failure
recovery_1.01x,strict_60s_trade_through,-10.3332,989.6668,-1.0333200,11.9477,14.7620,190,24,161,29,64,97,150,53,11,0,160,4.91,161,-10.3332,1.00,False
recovery_1.01x,observed_60s_quote_touch,-4.3909,995.6091,-0.4390900,6.0868,9.0427,190,24,166,24,69,97,150,53,16,0,165,5.16,166,-4.3909,1.00,False
recovery_1.01x,all_eligible_fill,9.2446,1009.2446,0.9244600,1.0089,1.3618,190,24,190,0,93,97,150,53,40,0,21,1.23,3,-0.0708,1.00,False
fixed_one_share,strict_60s_trade_through,-5.2000,994.8000,-0.5200,5.5500,6.1300,190,24,161,29,64,97,150,53,11,0,160,1.00,161,-5.2000,1.00,False
fixed_one_share,observed_60s_quote_touch,-2.9000,997.1000,-0.2900,3.8900,4.4600,190,24,166,24,69,97,150,53,16,0,165,1.00,166,-2.9000,1.00,False
fixed_one_share,all_eligible_fill,8.5300,1008.5300,0.85300,0.9600,1.2600,190,24,190,0,93,97,150,53,40,0,21,1.00,3,-0.0700,1.00,False
